-円	えん
あさって	あさって
あそこ	あそこ
あちら	あちら
あなた	あなた
あの	あの
あまり	あまり
ありがとうございます	ありがとうございます
ある	ある
あれ	あれ
あんな	あんな
いい	いい
いいえ	いいえ
いくつ	いくつ
いくら	いくら
いただきます	いただきます
いっしょに	いっしょに
いつ	いつ
いつも	いつも
いらっしゃいませ	いらっしゃいませ
いる	いる
うどん	うどん
うるさい	うるさい
おいしい	おいしい
おじいさん	おじいさん
おじさん	おじさん
お母さん	おかあさん
お菓子	おかし
お酒	おさけ
お金	おかね
アパート	アパート
エレベーター	エレベーター
一	いち
一日	いちにち
一番	いちばん
一週間	いっしゅうかん
上	うえ
上着	うわぎ
五つ	いつつ
五日	いつか
今	いま
会う	あう
兄	あに
入れる	いれる
入口	いりぐち
医者	いしゃ
危ない	あぶない
売る	うる
多い	おおい
大きい	おおきい
奥さん	おくさん
妹	いもうと
姉	あね
嫌な	いやな
家	いえ
後	あと
後ろ	うしろ
忙しい	いそがしい
意味	いみ
押す	おす
教える	おしえる
新しい	あたらしい
明るい	あかるい
明日	あした
暑い	あつい
暖かい	あたたかい
朝	あさ
朝御飯	あさごはん
椅子	いす
歌	うた
歌う	うたう
歩く	あるく
洗う	あらう
浴びる	あびる
海	うみ
犬	いぬ
甘い	あまい
生まれる	うまれる
痛い	いたい
秋	あき
絵	え
置く	おく
色	いろ
色々	いろいろ
色々な	いろいろな
英語	えいご
行く	いく
要る	いる
言う	いう/ゆう
赤い	あかい
起きる	おきる
足	あし
遊ぶ	あそぶ
鉛筆	えんぴつ
開く	あく
開ける	あける
雨	あめ
青い	あおい
頭	あたま
駅	えき
