会う	あう
青い	あおい
赤い	あかい
明るい	あかるい
秋	あき
開く	あく
開ける	あける
朝	あさ
朝御飯	あさごはん
あさって	あさって
足	あし
明日	あした
あそこ	あそこ
遊ぶ	あそぶ
暖かい	あたたかい
頭	あたま
新しい	あたらしい
あちら	あちら
暑い	あつい
後	あと
あなた	あなた
兄	あに
姉	あね
あの	あの
アパート	アパート
浴びる	あびる
危ない	あぶない
甘い	あまい
あまり	あまり
雨	あめ
洗う	あらう
ありがとうございます	ありがとうございます
ある	ある
歩く	あるく
あれ	あれ
あんな	あんな
いい	いい
いいえ	いいえ
言う	いう/ゆう
家	いえ
行く	いく
いくつ	いくつ
いくら	いくら
医者	いしゃ
椅子	いす
忙しい	いそがしい
痛い	いたい
いただきます	いただきます
一	いち
一日	いちにち
一番	いちばん
いつ	いつ
五日	いつか
一週間	いっしゅうかん
いっしょに	いっしょに
五つ	いつつ
いつも	いつも
犬	いぬ
今	いま
意味	いみ
妹	いもうと
嫌な	いやな
いらっしゃいませ	いらっしゃいませ
入口	いりぐち
いる	いる
要る	いる
入れる	いれる
色	いろ
色々	いろいろ
色々な	いろいろな
上	うえ
後ろ	うしろ
歌	うた
歌う	うたう
うどん	うどん
生まれる	うまれる
海	うみ
売る	うる
うるさい	うるさい
上着	うわぎ
絵	え
英語	えいご
駅	えき
エレベーター	エレベーター
-円	えん
鉛筆	えんぴつ
おいしい	おいしい
多い	おおい
大きい	おおきい
お母さん	おかあさん
お菓子	おかし
お金	おかね
起きる	おきる
置く	おく
奥さん	おくさん
お酒	おさけ
おじいさん	おじいさん
教える	おしえる
おじさん	おじさん
押す	おす
