001	山	메 산
002	川	내 천
003	田	밭 전
004	日	날 일
005	月	달 월
006	火	불 화
007	水	물 수
008	木	나무 목
009	金	쇠 금 | 성(姓) 김
010	土	흙 토
011	一	한 일
012	二	두 이
013	三	석 삼
014	四	넉 사
015	五	다섯 오
016	六	여섯 륙
017	七	일곱 칠
018	八	여덟 팔
019	九	아홉 구
020	十	열 십
021	百	일백 백
022	千	일천 천
023	万	일만 만
024	円	둥글 원 | 화폐단위 엔
025	年	해 년
026	上	윗 상
027	下	아래 하
028	中	가운데 중
029	半	반(半) 반
030	分	나눌 분
031	人	사람 인
032	子	아들 자
033	女	계집 녀
034	男	사내 남
035	目	눈 목
036	口	입 구
037	耳	귀 이
038	手	손 수
039	足	발 족
040	力	힘 력
041	父	아비 부
042	母	어미 모
043	先	먼저 선
044	生	날 생
045	学	배울 학
046	校	학교 교
047	友	벗 우
048	本	근본 본
049	毎	매양 매
050	何	어찌 하
051	前	앞 전
052	後	뒤 후
053	外	바깥 외
054	左	왼 좌
055	右	오를/오른(쪽) 우
056	東	동녘 동
057	西	서녘 서
058	南	남녘 남
059	北	북녘 북 | 달아날 배
060	名	이름 명
061	牛	소 우
062	馬	말 마
063	魚	고기/물고기 어
064	貝	조개 패
065	雨	비 우
066	天	하늘 천
067	気	기운 기
068	車	수레 거 | 수레 차
069	門	문 문
070	午	낮 오
071	大	큰 대
072	小	작을 소
073	高	높을 고
074	安	편안 안
075	新	새 신
076	古	옛 고
077	長	긴 장
078	多	많을 다
079	少	적을 소
080	早	이를 조
081	行	다닐 행 | 항렬 항
082	来	올 래
083	食	밥/먹을 식
084	見	볼 견 | 뵈올 현
085	入	들 입
086	出	날 출
087	立	설 립
088	書	글 서
089	言	말씀 언
090	飲	마실 음
091	話	말씀 화
092	読	읽을 독 | 구절 두
093	語	말씀 어
094	間	사이 간
095	聞	들을 문
096	買	살 매
097	休	쉴 휴
098	時	때 시
099	週	주일 주
100	道	길 도
101	今	이제 금
102	会	모일 회
103	社	모일 사
104	店	가게 점
105	駅	역 역
106	花	꽃 화
107	国	나라 국
108	白	흰 백
109	空	빌 공
110	電	번개 전
111	々	여러 (いろいろ)
112	丈	키 (たけ)
113	丸	둥글다 (まるい)
114	乳	젖 (ちち)
115	予	예정 (よてい)
116	他	다른 (ほか)
117	供	아이 (こども)
118	傘	우산 (かさ)
119	優	우 (ゆう)
120	公	공적인 (おおやけ)
121	危	위험하다 (あぶない)
122	卵	알 (たまご)
123	吸	吸 (すう)
124	呂	목욕 (おふろ)
125	呼	부르다 (よぶ)
126	咲	咲 (さく)
127	喫	찻집 (きっさてん)
128	困	곤란하다 (こまる)
129	園	공원 (こうえん)
130	塩	소금 (しお)
131	夫	남편 (おっと)
132	奥	깊숙한 (おく)
133	婚	결혼 (けっこん)
134	嫌	싫은 (いやな)
135	定	예정 (よてい)
136	宿	묵는 (やど)
137	寝	자다 (ねる)
138	局	우체국 (ゆうびんきょく)
139	布	천 (ぬの)
140	帽	모자 (ぼうし)
141	座	앉다 (すわる)
142	庭	정원 (にわ)
143	徒	徒 (せいと)
144	御	밥 (ごはん)
145	忙	바쁘다 (いそがしい)
146	押	밀다 (おす)
147	撮	撮 (とる)
148	散	산책 (さんぽ)
149	易	쉽다 (やさしい)
150	昨	어제 (きのう)
151	暇	한가한 (ひまな)
152	曲	구부러지다 (まがる)
153	机	책상 (つくえ)
154	枚	장 (まい)
155	果	과일 (くだもの)
156	椅	의자 (いす)
157	横	옆 (よこ)
158	機	비행기 (ひこうき)
159	次	다음 (つぎ)
160	欲	욕심 (よく)
161	歳	살 (さい)
162	段	점점 (だんだん)
163	汚	더럽다 (きたない)
164	泳	헤엄치다 (およぐ)
165	浴	뒤집어쓰다 (あびる)
166	消	꺼지다 (きえる)
167	狭	좁다 (せまい)
168	猫	고양이 (ねこ)
169	瓶	병 (びん)
170	甘	달다 (あまい)
171	留	유학생 (りゅうがくせい)
172	番	순서 (ばん)
173	痛	아프다 (いたい)
174	登	登 (のぼる)
175	皆	여러분 (みなさん)
176	眼	안경 (めがね)
177	砂	모래 (すな)
178	磨	닦다 (みがく)
179	窓	창 (まど)
180	符	표 (きっぷ)
181	筆	붓 (ふで)
182	糖	설탕 (さとう)
183	紅	홍차 (こうちゃ)
184	結	결혼 (けっこん)
185	絵	그림 (え)
186	緑	녹색 (みどり)
187	締	締 (しめる)
188	置	두다 (おく)
189	背	키 (せ)
190	腹	배 (はら)
191	菓	과자 (おかし)
192	葉	잎 (は)
193	要	要 (いる)
194	覚	외우다 (おぼえる)
195	角	모난 (かど)
196	誌	잡지 (ざっし)
197	誕	생일 (たんじょうび)
198	誰	누구 (だれ)
199	豚	돼지고기 (ぶたにく)
200	財	재 (ざい)
201	辛	맵다 (からい)
202	辞	사전 (じしょ)
203	遅	늦다 (おそい)
204	遊	놀다 (あそぶ)
205	達	친구 (ともだち)
206	邪	감기 (かぜ)
207	部	방 (へや)
208	郵	우체국 (ゆうびんきょく)
209	酒	술 (おさけ)
210	鉄	철 (てつ)
211	鉛	납 (なまり)
212	鍵	열쇠 (かぎ)
213	鏡	거울 (かがみ)
214	階	계단 (かいだん)
215	隣	이웃 (となり)
216	雑	잡지 (ざっし)
217	難	어렵다 (むずかしい)
218	静	조용한 (しずかな)
219	靴	신발 (くつ)
220	鞄	가방 (かばん)
221	頃	경 (ころ)
222	飛	날다 (とぶ)
223	黄	노랗다 (きいろい)
224	鼻	코 (はな)
225	住	살 주
226	所	바 소
227	京	서울 경
228	都	도읍 도
229	府	마을[官廳] 부
230	県	고을 현
231	市	저자 시
232	区	구분할/지경 구
233	町	밭두둑 정
234	村	마을 촌
235	明	밝을 명
236	暗	어두울 암
237	遠	멀 원
238	近	가까울 근
239	強	강할 강
240	弱	약할 약
241	重	무거울 중
242	軽	가벼울 경
243	太	클 태
244	細	가늘 세
245	特	특별할 특
246	別	다를/나눌 별
247	有	있을 유
248	便	편할 편 | 똥오줌 변
249	利	이할 리
250	不	아닐 불
251	切	끊을 절 | 온통 체
252	元	으뜸 원
253	好	좋을 호
254	急	급할 급
255	低	낮을 저
256	広	넓을 광
257	短	짧을 단
258	良	어질 량
259	悪	악할 악 | 미워할 오
260	正	바를 정
261	変	변할 변
262	赤	붉을 적
263	青	푸를 청
264	黒	검을 흑
265	映	비칠 영
266	画	그림 화 | 그을 획(劃)
267	音	소리 음
268	楽	즐길 락 | 노래 악 | 좋아할 요
269	歌	노래 가
270	写	베낄 사
271	真	참 진
272	旅	나그네 려
273	世	인간 세
274	界	지경 계
275	仕	섬길 사
276	事	일 사
277	銀	은 은
278	員	인원 원
279	医	의원 의
280	者	놈 자
281	働	일할 동
282	屋	집 옥
283	産	낳을 산
284	業	업 업
285	林	수풀 림
286	森	수풀 삼
287	地	따 지
288	池	못 지
289	海	바다 해
290	洋	큰바다 양
291	雪	눈 설
292	光	빛 광
293	台	대 대 | 태풍 태
294	風	바람 풍
295	季	계절 계
296	節	마디 절
297	春	봄 춘
298	夏	여름 하
299	秋	가을 추
300	冬	겨울 동
301	暑	더울 서
302	寒	찰 한
303	暖	따뜻할 난
304	涼	서늘할 량
305	体	몸 체
306	頭	머리 두
307	顔	낯 안
308	首	머리 수
309	心	마음 심
310	声	소리 성
311	病	병 병
312	薬	약 약
313	科	과목 과
314	内	안 내
315	朝	아침 조
316	昼	낮 주
317	夜	밤 야
318	夕	저녁 석
319	方	모[稜] 방
320	晩	늦을 만
321	計	셀 계
322	曜	빛날 요
323	以	써 이
324	度	법도 도 | 헤아릴 탁
325	止	그칠 지
326	歩	걸음 보
327	走	달릴 주
328	起	일어날 기
329	持	가질 지
330	待	기다릴 대
331	借	빌/빌릴 차
332	貸	빌릴/꿔줄 대
333	始	비로소 시
334	終	마칠 종
335	家	집 가
336	族	겨레 족
337	私	사사(私事) 사
338	自	스스로 자
339	親	친할 친
340	両	두 량
341	兄	형 형
342	弟	아우 제
343	姉	손윗누이 자
344	妹	누이 매
345	活	살 활
346	回	돌아올 회
347	主	임금/주인 주
348	色	빛 색
349	形	모양 형
350	品	물건 품
351	民	백성 민
352	服	옷 복
353	犬	개 견
354	同	한가지 동
355	米	쌀 미
356	料	헤아릴 료
357	理	다스릴 리
358	肉	고기 육
359	鳥	새 조
360	野	들[坪] 야
361	菜	나물 채
362	茶	차 다 | 차 차
363	飯	밥 반
364	味	맛 미
365	代	대신할 대
366	使	하여금/부릴 사
367	作	지을 작
368	化	될 화
369	信	믿을 신
370	進	나아갈 진
371	送	보낼 송
372	返	돌이킬 반
373	洗	씻을 세
374	注	부을 주
375	場	마당 장
376	建	세울 건
377	物	물건 물
378	院	집 원
379	館	집 관
380	堂	집 당
381	室	집 실
382	工	장인 공
383	図	그림 도
384	号	이름 호
385	交	사귈 교
386	通	통할 통
387	動	움직일 동
388	乗	탈 승
389	降	내릴 강 | 항복할 항
390	運	옮길 운
391	転	구를 전
392	帰	돌아갈 귀
393	発	필 발
394	着	붙을 착
395	漢	한수/한나라 한
396	字	글자 자
397	文	글월 문
398	教	가르칠 교
399	勉	힘쓸 면
400	習	익힐 습
401	英	꽃부리 영
402	考	생각할 고
403	研	갈 연
404	究	연구할 구
405	問	물을 문
406	題	제목 제
407	試	시험 시
408	験	시험 험
409	質	바탕 질
410	合	합할 합
411	答	대답 답
412	用	쓸 용
413	紙	종이 지
414	意	뜻 의
415	引	끌 인
416	開	열 개
417	閉	닫을 폐
418	去	갈 거
419	死	죽을 사
420	集	모을 집
421	知	알 지
422	売	팔 매
423	説	말씀 설 | 달랠 세
424	思	생각 사
425	丁	정중한 (ていねいな)
426	並	한 (ならぶ)
427	久	오래간만입니다 (おひさしぶりです)
428	乾	마르다 (かわく)
429	争	전쟁 (せんそう)
430	亡	죽다 (なくなる)
431	介	소개 (しょうかい)
432	付	붙다 (つく)
433	伝	전하다 (つたえる)
434	伺	의 (うかがう)
435	似	닮다 (にる)
436	例	예 (れい)
437	係	담당 (かかり)
438	俺	남자의 (おれ)
439	個	개인 (こじん)
440	倍	배 (ばい)
441	倒	쓰러뜨리다 (たおす)
442	値	값어치 (あたい)
443	側	쪽 (がわ)
444	備	준비 (じゅんび)
445	僕	남자의 (ぼく)
446	億	억 (おく)
447	全	전국 (ぜんこく)
448	具	具 (ぐあい)
449	典	사전 (じてん)
450	冷	차갑다 (つめたい)
451	列	열 (れつ)
452	初	처음으로 (はじめて)
453	則	규칙 (きそく)
454	割	나누다 (わる)
455	務	공무원 (こうむいん)
456	勝	이기다 (かつ)
457	勤	근무하다 (つとめる)
458	勿	물론 (もちろん)
459	匂	냄새 (におい)
460	包	싸다 (つつむ)
461	匹	마리 (ひき)
462	卒	졸업 (そつぎょう)
463	単	간단한 (かんたんな)
464	厚	두껍다 (あつい)
465	原	들 (はら)
466	厳	엄하다 (きびしい)
467	参	参 (まいる)
468	反	반대 (はんたい)
469	取	取 (とる)
470	受	受 (うける)
471	只	지금 (ただいま)
472	召	의 (めしあがる)
473	叱	야단치다 (しかる)
474	史	역사 (れきし)
475	向	맞은편 (むかい)
476	君	자네 (きみ)
477	吹	불다 (ふく)
478	命	목숨 (いのち)
479	喉	목구멍 (のど)
480	喜	기뻐하다 (よろこぶ)
481	喧	싸움 (けんか)
482	営	영업 (えいぎょう)
483	嘘	거짓말 (うそ)
484	嘩	싸움 (けんか)
485	因	원인 (げんいん)
486	団	이부자리 (ふとん)
487	坂	비탈길 (さか)
488	坊	늦잠을 (ねぼう)
489	堅	딱딱하다 (かたい)
490	報	일기 (てんきよほう)
491	塗	바르다 (ぬる)
492	増	늘어나다 (ふえる)
493	壁	벽 (かべ)
494	壊	망가뜨리다 (こわす)
495	夢	꿈 (ゆめ)
496	失	실패 (しっぱい)
497	妻	아내 (つま)
498	娘	딸 (むすめ)
499	存	의 (ぞんじる)
500	孫	손자 (まご)
501	宅	상대방 (おたく)
502	守	지키다 (まもる)
503	客	손님 (きゃく)
504	寂	외롭다 (さびしい)
505	寄	들르다 (よる)
506	察	경찰 (けいさつ)
507	寧	정중한 (ていねいな)
508	寺	절 (てら)
509	対	쌍 (つい)
510	封	봉함 (ふう)
511	専	전문 (せんもん)
512	将	장래 (しょうらい)
513	居	거실 (いま)
514	届	닿다 (とどく)
515	展	전람회 (てんらんかい)
516	岸	물가 (きし)
517	島	섬 (しま)
518	差	차 (さ)
519	席	자리 (せき)
520	床	마루 (ゆか)
521	庫	냉장고 (れいぞうこ)
522	廊	복도 (ろうか)
523	弁	도시락 (べんとう)
524	張	열심히 (がんばる)
525	弾	총알 (たま)
526	当	도시락 (べんとう)
527	役	역 (やく)
528	彼	그이 (かれ)
529	律	법률 (ほうりつ)
530	復	복습 (ふくしゅう)
531	必	반드시 (かならず)
532	忘	잊다 (わすれる)
533	念	생각 (ねん)
534	怒	화내다 (おこる)
535	怖	무섭다 (こわい)
536	性	성 (せい)
537	怪	상처 (けが)
538	恥	부끄러움 (はじ)
539	息	숨 (いき)
540	悲	슬프다 (かなしい)
541	慣	익숙해지다 (なれる)
542	慮	사양 (えんりょ)
543	懸	열심히 (いっしょうけんめい)
544	成	찬성 (さんせい)
545	我	나 (われ)
546	戦	전쟁 (せんそう)
547	戸	문짝 (と)
548	戻	되돌리다 (もどす)
549	房	냉방 (れいぼう)
550	打	치다 (うつ)
551	払	払 (はらう)
552	技	기법 (わざ)
553	投	던지다 (なげる)
554	折	때 (おり)
555	抵	대개 (たいてい)
556	招	초대 (しょうたい)
557	拝	의 (はいけんする)
558	拾	줍다 (ひろう)
559	指	손가락 (ゆび)
560	捕	붙잡다 (つかまえる)
561	捨	버리다 (すてる)
562	掃	청소 (そうじ)
563	授	수업 (じゅぎょう)
564	掛	걸다 (かける)
565	探	찾다 (さがす)
566	換	갈아탐 (のりかえ)
567	揺	흔들리다 (ゆれる)
568	支	채비 (したく)
569	放	방송 (ほうそう)
570	政	정치 (せいじ)
571	故	고장 (こしょう)
572	敗	실패 (しっぱい)
573	数	수 (かず)
574	昔	옛날 (むかし)
575	星	별 (ほし)
576	是	꼭 (ぜひ)
577	普	보통 (ふつう)
578	景	경치 (けしき)
579	晴	하늘이 (はれ)
580	暮	暮 (くれる)
581	曇	흐리다 (くもる)
582	替	바꾸다 (とりかえる)
583	最	최근 (さいきん)
584	期	기간 (きかん)
585	束	다발 (たば)
586	杯	술잔 (さかずき)
587	松	소나무 (まつ)
588	枝	가지 (えだ)
589	柔	부드럽다 (やわらかい)
590	格	격 (かく)
591	案	안 (あん)
592	桜	벚나무 (さくら)
593	梅	매화나무 (うめ)
594	械	기계 (きかい)
595	棒	몽둥이 (ぼう)
596	棚	선반 (たな)
597	植	심다 (うえる)
598	構	거절할 (けっこうです)
599	様	님 (さま)
600	橋	다리 (はし)
601	欠	결석 (けっせき)
602	歯	이 (は)
603	歴	역사 (れきし)
604	残	남기다 (のこす)
605	比	비교하다 (くらべる)
606	毛	털 (け)
607	氏	남자친구 (かれし)
608	氷	얼음 (こおり)
609	汗	땀 (あせ)
610	決	정해지다 (きまる)
611	汽	기차 (きしゃ)
612	沸	沸 (わかす)
613	油	기름 (あぶら)
614	治	정치 (せいじ)
615	泊	묵다 (とまる)
616	法	법 (ほう)
617	泣	울다 (なく)
618	泥	진흙 (どろ)
