1	科学	かがく (카가쿠)	과학
2	後	あと (아토)	뒤, 후방
3	棚	たな (타나)	선반
4	橋	はし (하시)	다리
5	米	こめ (코메)	쌀
6	氷	こおり (코오리)	얼음
7	壁	かべ (카베)	벽
8	梅雨	つゆ (츠유)	장마
9	空気	くうき (쿠우키)	공기
10	羽	はね (하네)	날개
11	辞典	じてん (지테)	사전
12	三角形	さんかくけい (상카쿠케이)	삼각형
13	ひげ	ひげ (히게)	수염
14	星	ほし (호시)	별
15	空間	くうかん (쿠우카)	공간
16	油	あぶら (아부라)	기름
17	池	いけ (이케)	연못
18	色	いろ (이로)	색
19	駅	えき (에키)	역
20	お金	おかね (오카네)	돈
21	飾り	かざり (카자리)	장식
22	方	かた (카타)	쪽, 분
23	花瓶	かびん (카비)	꽃병
24	がらす	がらす (가라스)	유리
25	切符	きっぷ (킷푸)	표
26	曇り	くもり (쿠모리)	흐림
27	けいと	けいと (케이토)	털실
28	玄関	げんかん (게카)	현관
29	ごみ	ごみ (고미)	쓰레기
30	塩	しお (시오)	소금
31	趣味	しゅみ (슈미)	취미
32	水道	すいどう (스이도우)	수도
33	数学	すうがく (스우가쿠)	수학
34	洗濯	せんたく (세타쿠)	세탁
35	台所	だいどころ (다이도코로)	부엌
36	卓球	たっきゅう (타ㅋ큐우)	탁구
37	地下鉄	ちかてつ (치카테츠)	지하철
38	月	つき (츠키)	달
39	電気	でんき (데키)	전기
40	時計	とけい (토케이)	시계
41	泥棒	どろぼう (도로보우)	도둑
42	荷物	にもつ (니모츠)	짐
43	葉書	はがき (하가키)	엽서
44	袋	ふくろ (후쿠로)	봉투
45	船	ふね (후네)	배
46	文章	ぶんしょう (부쇼우)	문장
47	窓	まど (마도)	창문
48	道	みち (미치)	길
49	指	ゆび (유비)	손가락
50	都会	とかい (토카이)	도시
51	区役所	くやくしょ (쿠야쿠쇼)	구청
52	郵便局	ゆうびんきょく (유우비쿄쿠)	우체국
53	国	くに (쿠니)	나라
54	交番	こうばん (코우바)	파출소
55	工場	こうじょう (코우조우)	공장
56	屋根	やね (야네)	지붕
57	背中	せなか (세나카)	등
58	口	くち (쿠치)	입
59	記者	きしゃ (키샤)	기자
60	お姉さん	おねえさん (오네에상)	누나, 누님
61	奥さん	おくさん (오쿠상)	(남의) 부인
62	市民	しみん (시미)	시민
63	腕	うで (우데)	팔, (실력/기술)
64	祖父	そふ (소후)	조부 (할아버지)
65	兄	あに (아니)	형
66	姉	あね (아네)	누나
67	お父さん	おとうさん (오토우상)	아버지
68	弟	おとうと (오토우토)	남동생
69	家族	かぞく (카조쿠)	가족
70	兄弟	きょうだい (쿄우다이)	형제
71	研究者	けんきゅうしゃ (케큐우샤)	연구자
72	主人	しゅじん (슈지)	남편
73	先生	せんせい (세세이)	선생님
74	父	ちち (치치)	아버지 (자신의)
75	息子	むすこ (무스코)	아들
76	娘	むすめ (무스메)	딸
77	経済	けいざい (케이자이)	경제
78	専門	せんもん (세모)	전문
79	発達	はったつ (하ㅌ타츠)	발달
80	出発	しゅっぱつ (슈ㅃ파츠)	출발
81	手続き	てつづき (테츠즈키)	수속, 절차
82	表示	ひょうじ (효우지)	표시
83	両方	りょうほう (료우호우)	양방
84	日曜日	にちようび (니치요우비)	일요일
85	試合	しあい (시아이)	시합
86	入国	にゅうこく (뉴우코쿠)	입국
87	半分	はんぶん (하부)	절반
88	場合	ばあい (바아이)	경우
89	案内	あんない (아나이)	안내
90	笑顔	えがお (에가오)	웃는 얼굴
91	乗り換え	のりかえ (노리카에)	갈아타기
92	答え	こたえ (코타에)	대답, 해답
93	お祭り	おまつり (오마츠리)	축제
94	遊び	あそび (아소비)	놀이
95	急行	きゅうこう (큐우코우)	급행 (열차)
96	元気	げんき (게키)	원기, 기력
97	招待	しょうたい (쇼우타이)	초대
98	洋服	ようふく (요우후쿠)	양복
99	夕飯	ゆうはん (유우하)	저녁밥
100	管理	かんり (카리)	관리
101	予習	よしゅう (요슈우)	예습
102	先週	せんしゅう (세슈우)	지난주
103	宿泊	しゅくはく (슈쿠하쿠)	숙박
104	失礼	しつれい (시츠레이)	실례
105	安全	あんぜん (아제)	안전
106	会議	かいぎ (카이기)	회의
107	経験	けいけん (케이케)	경험
108	授業	じゅぎょう (주교우)	수업
109	生活	せいかつ (세이카츠)	생활
110	注意	ちゅうい (츄우이)	주의
111	豚	ぶた (부타)	돼지
112	返す	かえす (카에스)	돌려주다
113	包む	つつむ (츠츠무)	싸다, 포장하다
114	守る	まもる (마모루)	지키다
115	引く	ひく (히쿠)	당기다, 끌다
116	打つ	うつ (우츠)	치다
117	瘦せる	やせる (야세루)	살이 빠지다
118	着る	きる (키루)	(옷을) 입다
119	渡す	わたす (와타스)	건네주다
120	眠る	ねむる (네무루)	잠자다
121	落とす	おとす (오토스)	떨어뜨리다
122	驚く	おどろく (오도로쿠)	놀라다
123	覚える	おぼえる (오보에루)	기억하다, 외우다
124	足す	たす (타스)	더하다
125	集める	あつめる (아츠메루)	모으다 (타동사)
126	申し込む	もうしこむ (모우시코무)	신청하다
127	帰る	かえる (카에루)	돌아가다, 돌아오다
128	焼く	やく (야쿠)	굽다 (불에)
129	叱る	しかる (시카루)	꾸짖다, 혼내다
130	拾う	ひろう (히로우)	줍다
131	減らす	へらす (헤라스)	줄이다 (타동사)
132	飲む	のむ (노무)	마시다
133	貼る	はる (하루)	붙이다
134	別れる	わかれる (와카레루)	헤어지다
135	無くす	なくす (나쿠스)	잃다, 없애다
136	弾く	ひく (히쿠)	치다 (악기)
137	曲がる	まがる (마가루)	(길을) 돌다
138	掛ける	かける (카케루)	걸다
139	決まる	きまる (키마루)	결정되다 (자동사)
140	預かる	あずかる (아즈카루)	맡다, 보관하다
141	上げる	あげる (아게루)	올리다, 주다
142	集まる	あつまる (아츠마루)	모이다 (자동사)
143	謝る	あやまる (아야마루)	사과하다
144	押す	おす (오스)	누르다
145	終わる	おわる (오와루)	끝나다 (자동사)
146	降ろす	おろす (오로스)	내리다 (차/짐)
147	飼う	かう (카우)	(동물을) 기르다
148	数える	かぞえる (카조에루)	세다
149	変わる	かわる (카와루)	변하다 (자동사)
150	決める	きめる (키메루)	결정하다 (타동사)
