1	ああ	ああ	저렇게
2	あいさつ	あいさつ	인사
3	アイロン	アイロン	다리미
4	合う	あう	딱 맞다. 서로 …하다
5	赤ちゃん	あかちゃん	아기
6	空く	あく	비다
7	アクセサリー	アクセサリー	액세서리
8	あご	あご	턱
9	浅い	あさい	얕다
10	味	あじ	맛
11	アジア	アジア	아시아
12	明日	あす	내일(방송용어) ＝あした
13	汗	あせ	땀
14	厚い	あつい	두껍다. 두텁다
15	熱い	あつい	뜨겁다
16	あっち	あっち	저쪽
17	アナウンサー	アナウンサー	아나운서
18	アフリカ	アフリカ	아프리카
19	飴	あめ	엿. 캔디
20	アメリカ	アメリカ	미국
21	アルコール	アルコール	알코올
22	アルバイト	アルバイト	아르바이트
23	安心	あんしん	안심
24	あんなに	あんなに	저렇게(도). 저렇게(까지)
25	以下	いか	이하
26	以外	いがい	이외. 그 밖
27	いかがですか	いかがですか	どうですか보다 공손한 말. 어떻습니까
28	医学	いがく	의학
29	生きる	いきる	삶을 살아가다. 생존하다
30	意見	いけん	의견
31	石	いし	돌
32	いじめる	いじめる	괴롭히다
33	以上	いじょう	이상
34	急ぐ	いそぐ	서두르다
35	致す	いたす	する의 낮춤말. 해드리다
36	一々	いちいち	일일이. 하나하나
37	一度	いちど	한번
38	いつか	いつか	언젠가
39	一体	いったい	도대체
40	いってきます	いってきます	다녀오겠습니다
41	いってらっしゃい	いってらっしゃい	다녀오세요
42	一杯	いっぱい	가득. 한잔
43	糸	いと	실
44	以内	いない	이내
45	田舎	いなか	시골
46	命	いのち	목숨. 생명
47	祈る	いのる	빌다. 기도하다
48	居間	いま	거실
49	いらっしゃる	いらっしゃる	行く・来る・いる의 높임말. 가시다. 오시다. 계시다
50	祝う	いわう	축하하다. 축복하다
51	植える	うえる	심다
52	伺う	うかがう	聞く・訪ねる의 낮춤말. 여쭙다. 찾아뵙다
53	受付	うけつけ	접수. 접수처
54	受ける	うける	(추상적인 것을) 받다
55	動かす	うごかす	-를 움직이다
56	動く	うごく	-가 움직이다
57	薄い	うすい	얇다. 엷다. 싱겁다
58	嘘	うそ	거짓말
59	うち	うち	저희(집). 우리(집)
60	美しい	うつくしい	아름답다
61	写す	うつす	베끼다. 묘사하다. (사진을) 찍다
62	裏	うら	뒷면
63	売(り)場	うりば	파는 곳. 매장
64	うれしい	うれしい	기쁘다
65	運	うん	운. 운수
66	運転	うんてん	운전
67	運転手	うんてんしゅ	운전 기사
68	運動	うんどう	운동
69	映画	えいが	영화
70	営業	えいぎょう	영업
71	ええ	ええ	네. 예
72	エスカレーター	エスカレーター	에스컬레이터
73	枝	えだ	가지
74	選ぶ	えらぶ	고르다. 뽑다. 선택하다
75	遠慮	えんりょ	사양. 겸손
76	御-	お-	경어 접두사. 주로 고유어 앞에 붙음
77	オートバイ	オートバイ	오토바이
78	おかえりなさい	おかえりなさい	가족이 집에 돌아왔을 때 하는 말. 어서 와요
79	おかげ	おかげ	덕분
80	億	おく	억
81	屋上	おくじょう	옥상
82	贈(り)物	おくりもの	선물
83	送る	おくる	보내다. 부치다. 바래다주다
84	遅れる	おくれる	늦다. 늦어지다
85	起こす	おこす	일으키다
86	怒る	おこる	화내다
87	おじ	おじ	아저씨. 삼촌
88	押し入れ	おしいれ	벽장
89	お邪魔します	おじゃまします	남의 집에 들어갈 때 하는 말. 실례합니다
90	お宅	おたく	상대방 집의 높임말. 댁
91	落ちる	おちる	떨어지다
92	おっしゃる	おっしゃる	言う의 높임말. 말씀하시다
93	夫	おっと	남편
94	音	おと	소리
95	落とし物	おとしもの	빠뜨린 물건. 분실물. 유실물
96	おとなしい	おとなしい	떠들거나 장난하지 않고 조용하다. 얌전하다
97	踊り	おどり	춤. 무용
98	踊る	おどる	춤추다
99	おば	おば	아주머니
100	お久しぶりです	おひさしぶりです	오래간만입니다
101	お前	おまえ	너
102	おめでとうございます	おめでとうございます	축하합니다
103	お目にかかる	おめにかかる	会う의 낮춤말. 만나뵙다
