1	間	あいだ	사이. 동안
2	会う	あう	(-に+) 만나다
3	青い	あおい	푸르다. 파랗다
4	赤い	あかい	붉다. 빨갛다
5	明るい	あかるい	밝다. 환하다. 명랑하다
6	秋	あき	가을
7	開く	あく	열리다
8	開ける	あける	열다
9	朝	あさ	아침
10	朝御飯	あさごはん	아침 식사
11	あさって	あさって	모레
12	足	あし	발. 다리
13	明日	あした	내일
14	あそこ	あそこ	저기
15	遊ぶ	あそぶ	놀다
16	暖かい	あたたかい	따뜻하다
17	頭	あたま	머리
18	新しい	あたらしい	새롭다
19	あちら	あちら	저쪽
20	暑い	あつい	덥다
21	後	あと	(시간적으로)후. 나중
22	あなた	あなた	당신
23	兄	あに	(나의)형. 오빠
24	姉	あね	(나의)누나. 언니
25	あの	あの	저
26	アパート	アパート	아파트
27	浴びる	あびる	뒤집어쓰다. (샤워를) 하다
28	危ない	あぶない	위험하다
29	甘い	あまい	달다. 달콤하다
30	あまり	あまり	별로. 그다지(+부정문)
31	雨	あめ	비
32	洗う	あらう	씻다
33	ありがとうございます	ありがとうございます	감사합니다
34	ある	ある	있다
35	歩く	あるく	걷다
36	あれ	あれ	저것
37	あんな	あんな	저런
38	いい	いい	좋다
39	いいえ	いいえ	아니오
40	言う	いう/ゆう	말하다
41	家	いえ	집
42	行く	いく	가다
43	いくつ	いくつ	몇. 몇개. 몇살
44	いくら	いくら	얼마
45	医者	いしゃ	의사
46	椅子	いす	의자
47	忙しい	いそがしい	바쁘다
48	痛い	いたい	아프다
49	いただきます	いただきます	잘 먹겠습니다
50	一	いち	일. 하나
51	一日	いちにち	하루 (기간)
52	一番	いちばん	일번. 첫째. 가장. 제일
53	いつ	いつ	언제
54	五日	いつか	5일
55	一週間	いっしゅうかん	일주일
56	いっしょに	いっしょに	같이. 함께
57	五つ	いつつ	다섯 개
58	いつも	いつも	언제나.늘
59	犬	いぬ	개
60	今	いま	지금
61	意味	いみ	의미. 뜻
62	妹	いもうと	여동생
63	嫌な	いやな	싫은
64	いらっしゃいませ	いらっしゃいませ	어서 오십시오
65	入口	いりぐち	입구
66	いる	いる	(사람이나 동물이) 있다
67	要る	いる	(1G) 필요하다
68	入れる	いれる	넣다
69	色	いろ	색
70	色々	いろいろ	여러 가지로
71	色々な	いろいろな	여러가지의
72	上	うえ	위
73	後ろ	うしろ	뒤. 뒤쪽
74	歌	うた	노래
75	歌う	うたう	노래 부르다
76	うどん	うどん	우동
77	生まれる	うまれる	태어나다
78	海	うみ	바다
79	売る	うる	팔다
80	うるさい	うるさい	시끄럽다
81	上着	うわぎ	겉옷. 내복 위에 입는 옷
82	絵	え	그림
83	英語	えいご	영어
84	駅	えき	역
85	エレベーター	エレベーター	엘리베이터. 승강기
86	-円	えん	엔(일본 화폐 단위)
87	鉛筆	えんぴつ	연필
88	おいしい	おいしい	맛있다
89	多い	おおい	많다
90	大きい	おおきい	크다
91	お母さん	おかあさん	어머니
92	お菓子	おかし	과자
93	お金	おかね	돈
94	起きる	おきる	일어나다
95	置く	おく	두다. 놓다
96	奥さん	おくさん	부인. 아주머니
